code,description
2600,Hair-preparation for brush manufacturers (dehairing to be separately rated)
2683,Hand luggage manufacturing
3146,Handbag frame manufacturing-metal
3146,Handle manufacturing
2841,Handle manufacturing-wood
7038,Harbor tour boat-less than 15 tons-Program I
7090,Harbor tour boat-less than 15 tons-Program II-State Act
7050,Harbor tour boat-less than 15 tons-Program II-USL Act
3146,Hardware manufacturing NOC
4902,Harness or saddle manufacturing
2841,Hat block manufacturing-wood
8017,Hat cleaning
2501,Hat frame manufacturing-ladies-from buckram
2501,Hat manufacturing
0034,Hatchery-bird-
2623,Hatters' fur manufacturing
7222,Hauling & stringing of oil or gas pipe lines-
0050,Hay baling
3507,Hay loader manufacturing
8215,"Hay, grain or feed dealer & local managers, drivers"
9063,Health or exercise institute & clerical
9063,Health spa or steam bath NOC & clerical
3681,Hearing aid manufacturing
8013,Hearing aid stores
3307,Heat treating-metal
3175,Heater or radiator manufacturing
5536,Heating and air conditioning duct work-shop & outside-
2841,Heel manufacturing-wood-covering to be separately rated
4410,Heel or sole manufacturing-rubber
4902,Helmet manufacturing-sports
2220,Hemp or jute spinning and weaving
5506,Highway guard rails-installation-
5506,Highway maintenance-
5506,Highway operations-toll roads-miscellaneous road maintenance-
7720,Highway operations-toll roads-police officers-
7380,"Highway operations-toll roads-receipts collectors, traveling-"
9402,Highway operations-toll roads-snow removal performed by employees specifically hired for this purpose
9410,Highway operations-toll roads-toll collectors
7720,Highway patrol-state highway commission-
9179,Hockey team
3507,Hoisting systems manufacturing
8829,Home for aged-all employees
8232,Home improvement center--all other than store employees
8058,Home improvement center-store employees
8835,Homemaker service
0034,Honey processing
2021,Honey processing-no bee raising
4244,Honeycomb packaging products manufacturing
4452,Horn goods manufacturing-fabricated products manufacturing
3383,Horn manufacturing
3648,Horn manufacturing-automobile
9016,Horse show-operation by owner or lessee-
8279,Horse show-stable employees-
3146,Horseshoe manufacturing
3111,Horseshoeing
4410,Hose manufacturing-rubber
2402,Hose manufacturing-woven fire hose from linen thread
2361,Hosiery dyeing and finishing
2361,Hosiery manufacturing
8829,Hospice service organization
5146,Hospital equipment installation
9040,Hospital-all other than professional employees
8833,Hospital-professional employees
8831,Hospital-veterinary-
8044,Hot tub or spa dealer-
9052,"Hotel & salespersons, drivers-all other than restaurant employees"
3066,Hotel and restaurant kitchen equipment manufacturing-sheet metal
9058,Hotel-restaurant employees
5402,Hothouse erection-all operations
9521,House furnishings installation NOC & upholstering
9519,"Household appliances-electrical-installation, service or repair-"
8006,Household furnishings or wearing apparel dealer-retail
9033,"Housing authority & clerical, salespersons, drivers"
7016,Hovercrafts-operated over water-Program I
7024,Hovercrafts-operated over water-Program II-State Act
7047,Hovercrafts-operated over water-Program II-USL Act
2841,Hub and spoke manufacturing-wood
3315,Hub cap manufacturing
3179,Humidifier
3574,"Humidity control manufacturing (gauges, meters)"
4000,Humus digging and bagging-
7720,Hunting and fishing guides-
9180,Hunting guides-club-
8102,Hybrid seed plant operation
3612,"Hydraulic device manufacturing-jacks, auto lifts"
7016,Hydrofoils-operated over water-Program I
7024,Hydrofoils-operated over water-Program II-State Act
7047,Hydrofoils-operated over water-Program II-USL Act
4635,Hydrogen or oxygen manufacturing
4825,Hydrogen peroxide manufacturing
4717,Hydrogenation of oils
0035,Hydroponic growing of vegetables-
2039,"Ice cream cabinet installation & service, drivers-by ice cream manufacturers"
5190,"Ice cream cabinet installation & service, drivers-by specialist contractors-"
3076,Ice cream cabinet manufacturing-metal
2001,Ice cream cone manufacturing
2039,Ice cream manufacturing
7380,Ice cream vendors-mobile-
8203,Ice dealer
8203,"Ice harvesting & storing, drivers"
2150,Ice manufacturing
2150,Ice manufacturing-block
2150,Ice manufacturing-crushed bagged
8203,Ice manufacturing-cube or crushed-
3146,Ice skate manufacturing
9016,Ice skating rink
2039,Ices manufacturing
7360,Icing refrigerator cars
3648,Ignition coil manufacturing
4112,Incandescent lamp manufacturing
4825,Incense manufacturing
3076,Incubator manufacturing-metal
2812,Incubator manufacturing-wood
4597,"Ink (writing), mucilage or paste manufacturing (GA, MO, NJ, NY)"
4557,Ink manufacturing
4251,Inked ribbon preparation
0050,"Insect control-crops, spraying from ground by specialist contractor-"
9014,"Insect control-not crops, no use of poisonous gases"
7409,Insect control-spraying from aircraft
4828,Insect control-using poisonous gases
0034,Insect raising-
8720,Inspection of risks for insurance or valuation purposes NOC
8709,Inspectors of merchandise on vessels or docks-coverage under Longshore Act
8719,Inspectors of merchandise on vessels or docks-coverage under State Act
9410,"Inspectors-municipal, township, county or state employee"
3685,Instrument manufacturing NOC
3685,Instrument manufacturing-airplane
3685,Instrument manufacturing-surveyors
1699,Insulating manufacturing-mineral process
4263,Insulation manufacturing-paper
5183,Insulation of pipes and boilers-non-asbestos materials
5479,Insulation work NOC
5183,Insulation-steam pipe or boiler
4825,Insulin manufacturing
7605,Intercommunication systems installation or repair
9521,Interior decorators-house furnishings installation
7151,Interstate railroads-all employees and drivers-Program I
7153,Interstate railroads-all employees and drivers-Program II-State Act
7152,Interstate railroads-all employees and drivers-Program II-USL Act
7133,Intrastate railroad operation-all employees
4825,Iodine manufacturing
3179,Iron (clothing presser) manufacturing
5057,Iron or steel erection NOC
5069,Iron or steel erection-construction of dwellings not over two stories in height
5102,Iron or steel erection-decorative
5102,Iron or steel erection-door or sash erection-metal or metal covered
5040,"Iron or steel erection-exterior (balconies, fire escapes staircases, etc.)"
5059,Iron or steel erection-frame structures not over two stories in height
5040,Iron or steel erection-frame structures over two stories in height
5040,Iron or steel erection-metal bridges
5102,Iron or steel erection-non-structural-interior
5040,"Iron or steel erection-radio, television or water towers, smokestacks, gas holders"
8106,Iron or steel merchant
3018,Iron or steel manufacturing: doubling process-
3018,Iron or steel manufacturing-rolling mill
3004,Iron or steel manufacturing-steelmaking
8265,Iron or steel scrap dealer
3041,Iron or steel-fabrication ironworks-shop-decorative or artistic-foundries
3030,Iron or steel-iron or steel works-shop-structural-
3040,Iron or steel-iron works-shop-ornamental-
6229,Irrigation or drainage system construction
0251,Irrigation or drainage system or canal maintenance-
0251,Irrigation works operation
4653,Isinglass manufacturing-
4452,Ivory or bone goods manufacturing
7720,Jail employees-
5645,Jalousie or jalousie screen erection-metal or glass
3076,Jalousie or jalousie screen manufacture-metal or glass
2112,Jam manufacturing
9014,Janitorial service by contractor
4114,Jar manufacturing
4410,Jar ring manufacturing-rubber
2112,Jelly manufacturing
6003,Jetty construction-consisting wholly of pile driving
6005,Jetty or breakwater construction-all operations to completion
3131,Jewelers findings manufacturing
3383,Jewelry manufacturing
3383,Jewelry repair-not jewelry store
2501,Jewelry tray manufacture-fabric
2841,Jewelry tray manufacture-wooden
8279,Jockeys-horse
3559,Juke box manufacturing
5192,"Juke boxes-installation, service or repair-& salespersons, drivers"
8263,Junk dealer
2220,Jute or hemp spinning and weaving
1747,Kaolin grinding-
2881,Keg assembly
3400,Keg manufacturing-metal stamped parts
8831,Kennels-boarding and breeding-dog and cat
6504,Ketchup manufacturing
2688,"Key case manufacturing from leather, imitation leather or vinyl"
5437,Kitchen cabinets-installation
2812,Kitchen cabinets-manufacture
5146,Kitchen equipment installation-commercial
3122,Knife manufacturing
2362,Knit goods manufacturing NOC
3515,Knitting machine manufacturing
4251,Label manufacturing-paper
2380,Label manufacturing-woven labels
8755,Labor union-all employees
0170,Laboratory animals-breeding or care-
2386,Lace manufacturing
4439,Lacquer or spirit varnish manufacturing
2802,Ladder manufacturing-wood-
2802,Laminated wood building beams and columns manufacturing-
3180,Lamp manufacturing-floor or table-using metal processing
2883,Lamp manufacturing-wooden
3223,Lamp or portable lantern manufacturing NOC
3257,Lamp shade frame manufacturing-wire
2501,Lamp shade manufacturing-parchment or textile-(frame manufacturing to be separately rated)
0042,Landscape gardening
3223,Lantern or lamp manufacturing NOC
4683,Lard refining
4716,"Lard refining (IL, IN, MA, MO)"
2735,Last block manufacturing
2790,Last or shoe form manufacturing
2710,Lath manufacturing-wood
5443,Lathing
6854,Launch (ship) building-iron or steel-State Act-
6843,Launch (ship) building-iron or steel-U.S. Act-
2589,"Laundry and dry cleaning store-retail-& route supervisors, drivers"
3632,Laundry machinery manufacturing-commercial or household
2585,"Laundry NOC & route supervisors, drivers"
2585,Laundry-non-fabric goods
8017,Laundry-self-service
8820,"Law office-all employees & clerical, messengers, drivers"
9102,Lawn maintenance
3507,Lawn mower manufacturing
3632,Lawn mower repair
4034,Lawn ornament manufacturing-concrete-
5183,Lawn sprinkler systems installation-underground-
1430,Lead manufacturing
2942,Lead pencil manufacturing
3027,Lead works
3724,Leather belting installation or repair-
2688,Leather belting manufacturing
2623,Leather dressing
2623,Leather embossing
2688,Leather goods manufacturing NOC
4493,Leather manufacturing-imitation
2623,Leather manufacturing-patent or enamel
2688,Leather skiving
4150,Lens manufacturing-ground
8800,Letter service shop & clerical
6045,Levee construction-all operations to completion
4825,Licorice extract manufacturing
4112,Light bulb manufacturing
5221,Light prisms in sidewalks-installation-or repair-
6854,Lighter (ship) building-iron or steel-State Act-
3315,Lightning rod manufacturing
1642,Lime manufacturing
1655,Lime manufacturing-quarry-surface-
1803,Limestone cutting or polishing-
1747,Limestone milling-powdered-
1624,Limestone quarry-
8385,Limousine company-garage employees
7370,Limousine company-non-scheduled -all other than garage employees
7382,Limousine company-scheduled-all other than garage employees-
2220,Linen cloth manufacturing
2220,Linen thread manufacturing
2501,Lingerie manufacturing
2501,Lining manufacturing-hat
5102,"Lining reservoirs, lagoons, ponds-rubber or plastic"
2501,Linings-sewing into coats by hand
5478,Linoleum installation
4493,Linoleum manufacturing
4308,Linotype or hand composition
9403,Liquid waste collection
2131,"Liquor bottling-not beer or wine, including warehousing rectifying or blending"
8017,Liquor or wine store-retail
8018,Liquor or wine store-wholesale
4279,Lithograph mounting and finishing
4299,Lithographing
1803,Lithographing stone manufacturing-no quarrying-
8279,Livery or boarding stable-not sales stable-
8288,"Livestock dealer or commission merchant & salespersons, drivers"
8288,"Livestock sales co. & salespersons, drivers"
3559,Locker manufacturing-automatic
3076,Locker manufacturing-sheet metal
5437,Locks-installation in new buildings
8010,Locksmith-including shop
3507,Locomotive works
2710,Log cabin manufacturing-sawmill operation
2710,Log processing-posts & rails for fences
8601,Log scaling
8107,Logging equipment dealer-
2702,Logging or lumbering
2702,Logging or lumbering: all other employees
3126,Logging tool manufacturing
3515,Loom harness or reed manufacturing
4251,Loose leaf ledger or notebook manufacturing
2683,Luggage manufacturing-hand
8017,Luggage stores-retail
2731,Lumber remanufacturing
8058,Lumberyard-store employees
8232,Lumberyard-warehouse -all other than store employees
2002,Macaroni manufacturing
3574,Machine gun manufacturing-.50 caliber or less
3632,Machine shop NOC
3114,Machine tools (small) manufacturing-drop or machine forged
3113,Machine tools (small) manufacturing-not drop or machine forged
8107,Machinery dealer NOC-store or yard-
4511,Magnaflux testing and inspection
1701,Magnesite manufacturing
1438,Magnesium metal manufacturing-all operations and drivers
8800,Mailing or addressing co. & clerical
4279,Mailing tube manufacturing-cardboard
2121,Malt house
6504,"Malted milk manufacturing from powdered milk, sugar, malt, cocoa"
2065,Malted milk manufacturing-including dehydration of milk
3122,Manicure products manufacturing
9586,Manicurists
9403,Manure dealers-
4038,Map manufacturing-relief-made of plaster
7422,Mapping or survey work-aerial-photography-flying crew
4361,Mapping or survey work-aerial-photography-ground laboratory-
1803,Marble cutting or polishing-
4036,Marble manufacturing-artificial-
5348,Marble or stone setting-inside
5348,"Marble tubs, sinks, counters-installation-separately rate plumbing"
5348,"Marble tubs, sinks, counters-plumbing-separately rate installation"
4717,Margarine manufacturing
6826,Marina -coverage under Longshore Act
6836,Marina -coverage under State Act
8720,Marine appraiser or surveyor
6872,Marine railway operation
6882,Marine railway operation
8742,Market research-interviewing consumers in field
1747,Marl grinding-
4000,Marl-digging and stripping-
5022,Masonry NOC
9063,Massage salons
4279,Match manufacturing-paper or  wooden
2841,Match stick manufacturing-(stick portion only-refer to Code 4279 for manufacturing of complete match)
2570,Mattress or box spring manufacturing
2288,Mattress pad manufacturing from felt or felt-like material
2001,Matzoth manufacturing
5022,Mausoleums in cemeteries-erection only
6504,Mayonnaise manufacturing
2095,Meat products manufacturing NOC
5191,Meat slicers or grinders-service or repair
4511,Medical apparatus-sterilization using X-ray process
3685,Medical diagnostic lamp manufacturing
4511,Medical research or analytical laboratory
4825,"Medicine, drug or pharmaceutical preparation manufacturing & includes manufacturing of ingredients"
4611,"Medicine, drug or pharmaceutical preparation, compounding or blending-no manufacturing of ingredients"
6504,Melba toast manufacturing-no baking of bread
3041,Memorial plaque fabrication-metal-
2413,Mercerizing textile
2416,Mercerizing yarn
9180,Merry-go-round operation-not traveling
8742,"Messengers, collectors or salespersons-outside"
5538,"Metal ceiling or wall covering installation & shop, drivers"
3372,Metal cleaning-pickling
4410,Metal coating-rubber or plastic
1438,Metal extraction from ores-non-ferrous-
3372,Metal finishing (deburring)
5146,Metal partition installation
5102,Metal sash installation
8500,Metal scrap dealer
8106,Metal service centers (not junk or scrap dealers)-
8265,Metal shredding plant-
3400,Metal stamped goods manufacturing NOC
3400,Metal stamping manufacturing NOC
3400,Metal tag manufacturing-metal stamped parts
4511,Metallurgical research or analytical laboratory
8742,Meter reader for utility co.-independent contractor (not employed by utility company)
7720,Meter readers-parking
5190,"Meter-electric-installing, repairing and testing-including shop;"
1853,Mica goods manufacturing & mica preparing
1741,Mica grinding-
1853,Mica splitting
1165,Mica-surface mining-
4511,Microbiology research or analytical laboratory
4361,Microfilming-
3179,Microwave oven manufacturing
5651,Military reservation construction-carpentry
5215,Military reservation construction-concrete-not monolithic
5069,Military reservation construction-iron or steel erection not over two stories in height
3620,Military tank hull manufacturing or assembly
4279,Milk bottle cap manufacturing-paper-including printing
2070,Milk bottle exchange-all employees
2070,"Milk depot or milk dealer & route supervisors, drivers"
2065,Milk products manufacturing NOC
8018,Mill supply dealers
2501,Millinery manufacturing
2014,Milling grain
1803,Millstone manufacturing-
3724,Millwright work NOC
1164,Mineral mining-underground-
1699,Mineral wool manufacturing
9016,Miniature golf course
1165,Mining NOC-not coal-surface
1164,Mining NOC-not coal-underground-
3507,Mining or ore milling machinery manufacturing
3126,Mining tool manufacturing
0170,Mink raising-
4131,Mirror manufacturing
9088,Missile bases
9088,Missiles firing and bunker
6252,Missiles-construct underground launch pad
2362,Mitten or glove manufacturing-knit
9534,Mobile crane and hoisting service contractors-NOC-all operations including yard employees and drivers
7228,Mobile home delivery-by specialist contractor-delivery only-local hauling only-
7229,Mobile home delivery-by specialist contractor-delivery only-long distance hauling-
8380,"Mobile home delivery-by specialist contractor-including placement, hook-up of plumbing, electrical and incidental installation activities-"
8380,Mobile home repair-on-site; assign to appropriate classification for dwelling repair-
8380,Mobile home repair-shop-by dealer or specialist contractor-
8380,Mobile home sales-all employees other than salespersons-
8748,Mobile home sales-salespersons
8380,Mobile home windstorm tie-down installation-by dealer-
6400,Mobile home windstorm tie-down installation-by specialist contractor
9015,Mobile home windstorm tie-down installation-by trailer camp operator
4902,Model airplane manufacturing-balsa wood
2790,"Model ships, railroad or aircraft kit manufacturing-high grade"
2802,Modular homes (factory built)-wood-
5146,Modular partition or workstation installation
2021,"Molasses or syrup refining, blending or manufacturing"
2790,Mold manufacturing-aluminum for plastics industry
5437,Molding installation--interior
2731,Molding manufacturing-wood
1803,Monument dealer-wholesale or retail-
5221,Monuments in cemeteries-erection only-
2220,Mop head manufacturing-from cotton waste
2835,Mop manufacturing-assembly only
4036,Mortar manufacturing-
5348,"Mosaic, stone, terrazzo or tile work-inside"
2501,"Mosquito netting-cutting, sewing"
0037,Moss gathering-
9058,"Motel, motor court or cabin-restaurant employees"
9052,"Motel, motor court or cabin-salespersons -all other than restaurant employees"
4362,"Motion picture film exchange projection rooms, & clerical"
7610,"Motion picture production: all operations up to the development of negatives & clerical, drivers"
4360,"Motion picture: development of negatives, printing & all subsequent operations"
3724,Motor (heavy) repair or service-away from shop-
3179,Motor manufacturing-fractional horsepower
4740,"Motor oil-used, reclaiming, recycling or rerefining-"
6834,Motorboat-not exceeding 150 feet in length-building or repair-State Act-
6824,Motorboat-not exceeding 150 feet in length-building or repair-U.S. Act-
3851,Motorcycle manufacturing or assembly
3114,Moulds manufacturing-forged machined metal moulds for the plastic industry
3113,Moulds manufacturing-non-forged machined metal moulds for the plastic industry
9180,Mountain climbing instructors and guides
4410,Mouthpiece manufacturing-rubber
4557,"Mucilage, ink (writing) or paste manufacturing"
8107,Mud dealers-oil well drivers
8380,Muffler installation or repair-
9410,"Municipal, township, county or state employee NOC"
0035,Mushroom raising-
4282,Music roll manufacturing-perforated paper
3383,Musical instrument manufacturing-metal-NOC
2923,Musical instrument manufacturing-wood-NOC
6504,Mustard manufacturing
3270,Nail manufacturing
2388,Nailhead ornamentation
4279,Napkin manufacturing
7720,National guard units-
2362,Necktie manufacturing-knitted
3119,Needle manufacturing
4112,Neon lamp manufacturing
3064,Neon sign manufacturing
2380,Net manufacturing
8745,"News agent or distributor of magazines or other periodicals-not retail dealer-& salespersons, drivers"
8017,News butchers
8810,"Newspaper publishers-employees such as designers, proofreaders and editors"
4304,Newspaper publishing
4771,Nitro starch explosives manufacturing-
4771,Nitroglycerine explosives manufacturing-
9501,Non-stick surfaces-coating of cooking utensils
2002,Noodle manufacturing
4251,Notebook or loose-leaf ledger manufacturing
4038,Novelties manufacturing-plaster
8829,Nursing or convalescent home-all employees
8835,"Nursing-home health, public & traveling-all employees"
6504,Nut cleaning or shelling
0016,Nut farm-
3132,Nut or bolt manufacturing
2305,Nylon textile fiber manufacturing
2014,Oat milling
2016,Oatmeal manufacturing
1747,Ochre grinding-
5191,"Office machine or appliance installation, inspection, adjustment or repair"
8803,"Office or factory cost systematizer, accountant or auditor-traveling"
6237,Oil analyzing at oil well site in trailers away from well-
8010,Oil burner and oil burner parts store
4493,Oil cloth manufacturing
6854,Oil drilling platform building-floating-iron or steel-State Act
6843,Oil drilling platform building-floating-iron or steel-U.S. Act
4683,Oil manufacturing-vegetable-NOC
4686,Oil manufacturing-vegetable-solvent extraction process
3724,Oil or gas burner installation -commercial type
5183,Oil or gas burner installation -domestic type-
8601,Oil or gas geologist or scout
1320,Oil or gas lease operator-all operations
6216,Oil or gas lease work NOC-by contractor-
6233,Oil or gas pipeline construction
7515,Oil or gas pipeline operation
6206,Oil or gas well acidizing-all employees
6206,Oil or gas well cementing
1322,Oil or gas well cleaning or swabbing of old wells having previously produced gas or oil-by contractor-no drilling-
6235,Oil or gas well drilling or redrilling
6216,Oil or gas well-dirt construction operator-
6236,Oil or gas well-installation or recovery of casings
6237,Oil or gas well-instrument logging or survey work-
6216,Oil or gas well-oil treating service-
6214,Oil or gas well-perforating of casing-all employees
6216,Oil or gas well-roustabout service-
6235,Oil or gas well-shooting
6213,Oil or gas well-specialty tool operation NOC-by contractor-all employees
8107,Oil or gas well-supplies or equipment dealer-new-store or yard only-
8204,"Oil or gas well-supplies or equipment dealer-used-& local managers, drivers"
6216,Oil or gas well-tank cleaning service-
8350,Oil or gasoline dealer
4557,Oil or grease mixing or blending
4740,Oil refining-petroleum-
5057,Oil rig or derrick erecting or dismantling-metal-all operations
5403,Oil rig or derrick erecting or dismantling-wood-all operations
7394,Oil Spills-cleaning on navigable waters-Program I
7395,Oil Spills-cleaning on navigable waters-Program II-State Act
7398,Oil Spills-cleaning on navigable waters-Program II-USL Act
3719,Oil still erection or repair
5183,Oil still pipe insulation
8106,Oil well drilling rigs-warehousing and sale-
3126,Oil well tool manufacturing
8350,Oiling of roads by oil distributors-
5506,Oiling of roads in connection with spreading of sand-
4740,Oil-reclaiming of used motor oil-
4611,Ointment compounding or preparation-no manufacturing of ingredients
4150,Opera glasses manufacturing
8013,Ophthalmologist-dispensing of optical goods
8832,Ophthalmologist-no dispensing of optical goods
4150,Optical goods manufacturing NOC
8013,Optical stores-(surface grinding of lens to be separately rated as 4150)
8013,Optometrist
4511,Ordinance research or analytical laboratory
7313,Ore dock operation & stevedoring
1452,Ore milling
3507,Ore milling or mining machinery manufacturing
1165,Ore mining-surface-
1164,Ore mining-underground-
2923,Organ building & installation
4038,Ornament or plaster statuary manufacturing
4034,Ornamental figure manufacturing-concrete-
0034,Ostrich farms-
3612,Outboard motor manufacturing
3169,Oven manufacturing-containing mechanical parts
3066,Oven manufacturing-metal industrial drying ovens
3066,Oven manufacturing-no mechanical parts
3724,Overhead (garage) doors installation
4635,Oxygen or hydrogen manufacturing
7016,Oyster boats-Program I
7024,Oyster boats-Program II-State Act
7047,Oyster boats-Program II-USL Act
2114,Oyster processing
8018,Packaging-contract
2759,Packing case manufacturing
2089,Packing house-all operations
4558,Paint manufacturing
8017,Paint stores-retail
8018,Paint stores-wholesale
5474,Painting murals on walls-artists-
5474,Painting of stripes on parking lots-
5506,"Painting of stripes on streets, roads or highways-"
5474,"Painting or paperhanging NOC & shop operations, drivers"
5474,Painting-aircraft
9505,Painting-automobile or carriage bodies
5474,Painting-electrostatic-shop and exterior operations-
9501,Painting-electrostatic-shop operations exclusively
5037,"Painting-metal bridges & shop operations, drivers"
5037,Painting-metal structures-over two stories in height-
6874,Painting-ship hulls
6884,Painting-ship hulls
9501,Painting-shop only
2759,Pallet & skid manufacturing-wood
2759,Pallet manufacture and repair-wood
3076,Panel manufacturing-sheet metal
2916,"Panel manufacturing-veneered, no veneer manufacturing"
8235,Paneling dealer-
5437,Paneling installation-interior
4250,Paper coating
4250,Paper corrugating or laminating
4250,Paper crepeing
4279,Paper goods manufacturing NOC
4239,Paper manufacturing
4250,"Paper oiling, paraffining, parchmentizing or waxing"
4279,Paper plate manufacturing
4299,Paper ruling
4279,Paper sheeting or slitting and winding
8264,Paper stock or rag dealer-used-
4279,Paper towel manufacturing
4279,Paper twine manufacturing
5491,Paperhanging
4038,Papier mache goods manufacturing
2501,Parachute manufacturing
2812,Parade float fabrication
9102,Park NOC-all employees
5192,"Parking meters installation, service or repair-& salespersons, drivers"
4239,Particleboard manufacturing
5146,Partition installation-metal
3076,Partition manufacturing-sheet metal
5445,Partition system installation-stud-
9429,Partners or sole proprietors who contract with the state or other governmental agency to perform work.
2002,Pasta manufacturing
4557,"Paste, ink (writing) or mucilage manufacturing"
2003,Pastry manufacturing-
4034,Patio block manufacturing-small-concrete-
7720,Patrol or detective agency
2790,Pattern making NOC
5221,"Paving or repaving-floors, driveways, yards or sidewalks-"
5505,"Paving or road surfacing or scraping NOC & yards, drivers (MO"
5221,Paving-wood block-interior-
8017,Pawn shops
2111,Pea de-veining at cannery
6504,Peanut butter manufacturing
8102,Peanut handling
4683,Peanut oil manufacturing-not using solvent extraction process
4686,Peanut oil manufacturing-using solvent extraction process
8292,Peanut storage warehouse
4000,Peat digging-
4583,Peat moss mixture manufacturing-
2841,Peg and skewer manufacturing-wood
4432,Pen manufacturing-all types
3119,Pen point manufacturing
2942,Pencil manufacturing
4432,Pencil manufacturing-mechanical
2735,Pencil stock manufacturing-wood
2942,"Pencil, penholder or crayon manufacturing"
2942,"Penholder, crayon or pencil manufacturing"
4825,Penicillin manufacturing
7720,Penitentiary employees-
8017,Penny arcades
0037,Peppermint distillation by farmers-
3179,Percolator manufacturing
4611,Perfume compounding or preparation-no manufacturing of ingredients
1699,Perlite manufacturing
6834,Personal watercraft-building or repair-State Act-
6824,Personal watercraft-building or repair-U.S. Act-
9220,Pet cemetery
8831,Pet grooming
8017,Pet shops-retail
4511,Petroleum research or analytical laboratory
4693,Pharmaceutical or surgical goods manufacturing NOC
8017,Pharmaceutical or surgical supply stores-primarily serving walk-in trade
4825,"Pharmaceutical, drug or medicine preparation manufacturing & includes manufacturing of ingredients"
4611,"Pharmaceutical, drug or medicine preparation, compounding or blending-no manufacturing of ingredients"
4511,Pharmacology research or analytical laboratory
4431,Phonograph record manufacturing
1165,Phosphate rock-surface mining-
4581,Phosphate works
4923,Photo films and dry plates manufacturing
4351,Photoengraving
4112,Photoflash bulb manufacturing
4112,Photoflood lamp manufacturing
4361,"Photographer-all employees & clerical, salespersons, drivers"
8810,Photographic composition-computerized
4304,Photographic composition-newspaper-not clerical
4299,Photographic composition-printing-not clerical
4923,Photographic supplies manufacturing
8832,Physical therapists
8832,Physician & clerical
2883,Piano case manufacturing
2923,Piano keys manufacturing
2923,Piano manufacturing
8044,Piano or organ dealer-
8044,Piano stores-
5191,Piano tuning-away from shop
2110,Pickle manufacturing
2110,Pickled pepper manufacturing
2110,Pickled tomato manufacturing
4771,Picrates explosives manufacturing-
4771,Picric acid explosives manufacturing-
2881,Picture frame assembling-from manufactured parts
2731,Picture frame molding manufacturing
3315,Picture hook manufacturing
5213,Pier construction-concrete
6003,Pile driving
3507,Pile driving equipment manufacturing
2501,"Pillow, quilt or cushion manufacturing"
7038,Pilot boats-Program I
7090,Pilot boats-Program II-State Act
7050,Pilot boats-Program II-USL Act
7382,"Pilot car service--""wide load, etc."""
7016,Pilots who guide vessels-Program I
7024,Pilots who guide vessels-Program II-State Act
7047,Pilots who guide vessels-Program II-USL Act
3270,Pin manufacturing
5192,"Pinball machines-service or repair-& salespersons, drivers"
1472,Pinene manufacturing-
9505,Pinstriping-automobiles
3111,Pipe bending and cutting
2735,Pipe block or blank manufacturing-wooden smoking
2380,Pipe cleaner manufacturing
3022,Pipe manufacturing NOC
4459,"Pipe manufacturing-plastic, extrusion method"
4021,"Pipe manufacturing-sewer or drain, clay-"
2841,"Pipe manufacturing-wooden, tobacco"
2791,"Pipe manufacturing-wooden, tobacco (MD, MO, NC, NJ, OK, VA, VT)"
3022,Pipe or tube manufacturing NOC
3028,Pipe or tube manufacturing-iron or steel
3027,Pipe or tube manufacturing-lead-
3365,Pipe testing or inspection-destructive-including radiographic or X-ray processes-
8720,Pipe testing or inspection-non-destructive-other than radiographic or X-ray processes
6213,"Pipe testing-destructive, oil or gas pipes not under construction-"
6233,Pipeline reclamation-oil or gas-
3574,Pistol manufacturing-.50 caliber or less
3632,Piston manufacturing-automobile
3635,Piston pin manufacturing
3635,Piston ring manufacturing
2003,Pizza crust manufacturing-baked
6504,Pizza crust manufacturing-not baked
2731,Planing or molding mill
7720,Plant protection-special employees hired for plant protection during strike periods-
2913,Plants (fibrous) goods manufacturing
8001,Plantscaping
4038,Plaster form manufacturing
1701,Plaster mill
4038,Plaster novelties manufacturing
4036,Plaster or staff mixing
4038,Plaster statuary or ornament manufacturing
4036,Plasterboard or plaster block manufacturing
5480,Plastering NOC
5022,Plastering or stucco work-on outside of buildings
5213,Plastic armor application
4452,Plastic goods manufacturing by dipping process
4299,Plastic or vinyl sign manufacturing-computerized
4410,Plastic scrap reclaiming-foamed or expanded plastics
2305,Plastic thread manufacturing
2302,Plastic yarn weaving
4452,Plastics manufacturing-fabricated products NOC
4484,Plastics manufacturing-molded products NOC
4459,"Plastics manufacturing-sheets, rods or tubes"
4484,"Plastics-laminated molded products manufacturing by laminating liquid plastic impregnated fibers, with the use of brush or spray, either in or over a mold or form NOC"
4299,Playing cards manufacturing
2388,Pleating and stitching or tucking-not clothing manufacturing
3126,Plowshare manufacturing
3114,Plumber's hand tool manufacturing-drop or machine forged
3113,Plumber's hand tool manufacturing-not drop or machine forged
8111,Plumbers' supplies dealer
3188,Plumbers' supplies manufacturing NOC
5183,Plumbing NOC
2300,Plush or velvet manufacturing
8235,Plywood dealers-
2915,Plywood manufacturing-including veneer manufacturing
2916,Plywood manufacturing-no veneer manufacturing
3612,"Pneumatic device manufacturing-drills, riveters, hammers"
3507,Pneumatic unloaders manufacturing
2688,Pocketbook manufacturing
2688,"Pocketbook manufacturing from leather, imitation leather or vinyl"
2960,"Pole, post or tie yard"
7720,Police officers
4557,Polish or dressing manufacturing
3372,Polishing and buffing-small articles-shop only-no manufacturing
3507,Pollution control systems manufacturing
2305,Polyester textile fiber manufacturing
9180,Pony rides-
